Ticker,Summary,Label,Confidence,URL
ETH,Uniswap overtakes Coinbase as second-largest platform for ethereum trades. Decentralised cryptocurrency exchanges have been in the news recently,NEGATIVE,0.9465776681900024,https://uk.finance.yahoo.com/news/defi-exchange-overtakes-coinbase-for-eth-trades-ftx-161934796.html
ETH,"Security firm Arkham finds $339 million in Ether, DAI, Maker’s stablecoin. Outflows at bankrupt FTX were caused by insider attack",NEGATIVE,0.9990807771682739,https://finance.yahoo.com/news/ftx-hacker-panicked-still-holds-233057265.html
ETH,Fund held more than $500 million in crypto as of Oct. 1. Ether has fallen more than 8% in the past two weeks,NEGATIVE,0.9995892643928528,https://finance.yahoo.com/news/crypto-fund-alamedas-ethereum-wallet-105636445.html
ETH,Ether Capital has no exposure to FTX or its affiliated businesses. Figment has confirmed there will be no direct or immediate impact to its business,NEGATIVE,0.9995774626731873,https://finance.yahoo.com/news/ether-capital-corporation-maintains-highest-173500016.html
ETH,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/news/first-mover-americas-ftxs-hacked-133244491.html
ETH,"Revenue for the second quarter was $29.6 million, up $44.2 million over previous quarter.",POSITIVE,0.9823259711265564,https://finance.yahoo.com/news/retransmission-hive-announces-quarterly-revenue-110000288.html
ETH,"PRDT Finance is the first fully cross-chain prediction platform. The platform supports Bitcoin, Ethereum, BNB, Polygon",POSITIVE,0.9737576842308044,https://finance.yahoo.com/news/one-prdt-finance-might-roll-130000713.html
ETH,"Ethereum network usage has increased in recent days. Ether's supply has declined by 5,598 since the Merge upgrade",NEGATIVE,0.9983112812042236,https://finance.yahoo.com/news/ether-turns-deflationary-amount-eth-095751397.html
ETH,"Ether rose over 16% last week, overshadowing bitcoin’s 5% gain. Supply has increased since the platform switched to PoS mechanism",POSITIVE,0.8470471501350403,https://finance.yahoo.com/news/ether-sees-biggest-weekly-gain-082926717.html
ETH,Crypto.com sent $400 million to rival Gate.io. CEO Marszalek: ‘It was supposed to be a move to a new cold storage address.’,NEGATIVE,0.9993730187416077,https://finance.yahoo.com/news/crypto-com-accidentally-sent-400m-145924881.html
FTX,FTX-driven crypto rout is a wake-up call for investors. S&P 500 is up 5.9% in past five trading sessions,NEGATIVE,0.9955804944038391,https://finance.yahoo.com/news/ft-xs-bust-and-crypto-crash-come-with-two-silver-linings-103045894.html
FTX,"FTX may have more than 1 million creditors, court document shows. Bitcoin has fallen by more than 14% since FTX filed for bankruptcy",NEGATIVE,0.9996664524078369,https://finance.yahoo.com/news/ftx-creditors-1-million-bankruptcy-142549111.html
